member_key,email_allowed,sms_allowed,call_allowed,preferred_channel,do_not_contact_flag,channel_risk_notes
MBR00001,false,true,true,CALL,false,Phone outreach preferred
MBR00002,false,true,true,SMS,false,Mobile preferred
MBR00003,false,false,true,CALL,false,Phone outreach preferred
MBR00004,false,true,true,EMAIL,false,Engaged via portal
MBR00005,true,true,true,SMS,false,Mobile preferred
MBR00006,true,true,true,CALL,false,Phone outreach preferred
MBR00007,false,true,true,SMS,false,Mobile preferred
MBR00008,true,true,true,EMAIL,false,Engaged via portal
MBR00009,true,false,true,EMAIL,false,Engaged via portal
MBR00010,true,false,true,SMS,false,Mobile preferred
MBR00011,true,true,true,EMAIL,false,Engaged via portal
MBR00012,false,true,true,EMAIL,false,Engaged via portal
MBR00013,false,false,true,EMAIL,false,Engaged via portal
MBR00014,true,true,false,EMAIL,false,Engaged via portal
MBR00015,false,true,true,CALL,false,Phone outreach preferred
MBR00016,false,true,true,CALL,false,Phone outreach preferred
MBR00017,true,true,true,EMAIL,false,Engaged via portal
MBR00018,false,true,true,EMAIL,false,Engaged via portal
MBR00019,true,true,false,EMAIL,true,Engaged via portal
MBR00020,true,false,true,SMS,false,Mobile preferred
MBR00021,false,false,true,CALL,false,Phone outreach preferred
MBR00022,true,true,true,SMS,false,Mobile preferred
MBR00023,false,true,true,EMAIL,false,Engaged via portal
MBR00024,true,false,true,SMS,false,Mobile preferred
MBR00025,true,true,true,CALL,false,Phone outreach preferred
MBR00026,false,true,true,CALL,false,Phone outreach preferred
MBR00027,true,true,true,EMAIL,false,Engaged via portal
MBR00028,true,false,true,CALL,false,Phone outreach preferred
MBR00029,true,true,true,CALL,false,Phone outreach preferred
MBR00030,true,true,true,CALL,false,Phone outreach preferred
MBR00031,true,true,true,EMAIL,false,Engaged via portal
MBR00032,false,false,true,SMS,false,Mobile preferred
MBR00033,false,true,true,CALL,false,Phone outreach preferred
MBR00034,false,false,true,CALL,false,Phone outreach preferred
MBR00035,true,true,true,CALL,false,Phone outreach preferred
MBR00036,true,true,true,SMS,false,Mobile preferred
MBR00037,true,false,true,EMAIL,false,Engaged via portal
MBR00038,true,true,true,EMAIL,false,Engaged via portal
MBR00039,false,true,true,CALL,false,Phone outreach preferred
MBR00040,true,true,true,EMAIL,false,Engaged via portal
MBR00041,true,true,true,EMAIL,false,Engaged via portal
MBR00042,true,true,true,EMAIL,false,Engaged via portal
MBR00043,false,true,true,CALL,false,Phone outreach preferred
MBR00044,true,true,true,CALL,false,Phone outreach preferred
MBR00045,true,true,true,SMS,false,Mobile preferred
MBR00046,true,true,true,SMS,false,Mobile preferred
MBR00047,true,true,true,EMAIL,false,Engaged via portal
MBR00048,true,true,true,CALL,false,Phone outreach preferred
MBR00049,true,false,true,EMAIL,false,Engaged via portal
MBR00050,false,true,false,EMAIL,false,Engaged via portal
MBR00051,false,true,true,EMAIL,false,Engaged via portal
MBR00052,false,false,true,EMAIL,false,Engaged via portal
MBR00053,false,true,true,CALL,false,Phone outreach preferred
MBR00054,false,true,true,SMS,false,Mobile preferred
MBR00055,true,true,true,SMS,false,Mobile preferred
MBR00056,false,true,true,SMS,false,Mobile preferred
MBR00057,false,true,true,EMAIL,false,Engaged via portal
MBR00058,true,true,true,EMAIL,false,Engaged via portal
MBR00059,true,false,true,EMAIL,false,Engaged via portal
MBR00060,true,true,true,EMAIL,true,Engaged via portal
MBR00061,true,true,true,SMS,false,Mobile preferred
MBR00062,true,false,true,SMS,false,Mobile preferred
MBR00063,true,true,true,EMAIL,false,Engaged via portal
MBR00064,false,false,true,SMS,false,Mobile preferred
MBR00065,false,true,true,EMAIL,false,Engaged via portal
MBR00066,false,false,true,SMS,false,Mobile preferred
MBR00067,false,true,true,SMS,false,Mobile preferred
MBR00068,true,true,true,EMAIL,false,Engaged via portal
MBR00069,false,true,true,EMAIL,false,Engaged via portal
MBR00070,true,true,true,SMS,false,Mobile preferred
MBR00071,false,false,true,SMS,false,Mobile preferred
MBR00072,true,true,true,CALL,false,Phone outreach preferred
MBR00073,false,true,true,SMS,false,Mobile preferred
MBR00074,false,true,true,CALL,false,Phone outreach preferred
MBR00075,true,true,true,EMAIL,false,Engaged via portal
MBR00076,false,true,true,EMAIL,false,Engaged via portal
MBR00077,true,true,true,CALL,false,Phone outreach preferred
MBR00078,false,true,false,SMS,false,Mobile preferred
MBR00079,false,true,true,EMAIL,false,Engaged via portal
MBR00080,true,true,true,CALL,false,Phone outreach preferred
MBR00081,true,true,true,EMAIL,false,Engaged via portal
MBR00082,false,false,true,CALL,false,Phone outreach preferred
MBR00083,false,true,true,SMS,false,Mobile preferred
MBR00084,false,true,true,CALL,false,Phone outreach preferred
MBR00085,false,false,true,EMAIL,false,Engaged via portal
MBR00086,false,true,true,SMS,true,Mobile preferred
MBR00087,true,true,true,SMS,false,Mobile preferred
MBR00088,true,false,true,CALL,true,Phone outreach preferred
MBR00089,false,false,true,SMS,false,Mobile preferred
MBR00090,false,true,true,SMS,false,Mobile preferred
MBR00091,false,true,true,CALL,false,Phone outreach preferred
MBR00092,true,false,true,SMS,false,Mobile preferred
MBR00093,false,true,true,SMS,false,Mobile preferred
MBR00094,false,true,true,CALL,false,Phone outreach preferred
MBR00095,true,true,true,CALL,false,Phone outreach preferred
MBR00096,true,true,true,CALL,false,Phone outreach preferred
MBR00097,true,true,true,EMAIL,false,Engaged via portal
MBR00098,false,false,true,EMAIL,false,Engaged via portal
MBR00099,false,true,true,CALL,false,Phone outreach preferred
MBR00100,true,true,true,EMAIL,false,Engaged via portal
MBR00101,false,true,true,EMAIL,false,Engaged via portal
MBR00102,true,true,true,SMS,false,Mobile preferred
MBR00103,false,false,false,EMAIL,false,Engaged via portal
MBR00104,true,true,false,SMS,true,Mobile preferred
MBR00105,true,true,true,SMS,false,Mobile preferred
MBR00106,true,false,true,CALL,false,Phone outreach preferred
MBR00107,false,true,true,EMAIL,false,Engaged via portal
MBR00108,false,true,true,EMAIL,false,Engaged via portal
MBR00109,true,true,true,SMS,false,Mobile preferred
MBR00110,false,false,true,EMAIL,false,Engaged via portal
MBR00111,true,true,true,CALL,false,Phone outreach preferred
MBR00112,false,true,true,CALL,false,Phone outreach preferred
MBR00113,true,true,true,EMAIL,false,Engaged via portal
MBR00114,true,true,true,SMS,false,Mobile preferred
MBR00115,false,true,true,EMAIL,false,Engaged via portal
MBR00116,false,true,true,CALL,false,Phone outreach preferred
MBR00117,false,true,true,CALL,false,Phone outreach preferred
MBR00118,true,true,false,EMAIL,false,Engaged via portal
MBR00119,true,true,true,EMAIL,false,Engaged via portal
MBR00120,true,true,true,CALL,false,Phone outreach preferred
MBR00121,true,false,true,CALL,false,Phone outreach preferred
MBR00122,true,false,true,SMS,false,Mobile preferred
MBR00123,false,true,true,EMAIL,false,Engaged via portal
